"Sans Nom";"";"";"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"1";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"L'INFANTERIE DANS LA BATAILLE";"";"BOUCHACOURT  Commandant --";"1";"1";"acheté 60 fr chez un bouqu   années 80";"150";"1927    ";"PARIS / LAVAUZELLE";"";"267";"14.5 X 22.5";"BROCHE / BON ETAT";"C 4";"";"";"ETUDE";"ETUDE";"";"";"";"";"";"";"";"";"1985    ";"50";"BOUQUINISTE  (  ALLEREY   )";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  +";"CARTES ++++";"";"";"ETUDE SUR L EMPLOI DE L INFANTERIE  ECRITE APRES LA GUERRE DE 14 - 18

OUVRAGE TRES TECHNIQUE ET TRES INTERESSANT  . 

NOMBREUSES CARTES D ETAT MAJOR POUR ILLUSTRER  LES RECITS";"";"";"";"";"";"";"";"";"";""
"LA FRANCE VICTORIEUSE DANS LA GUERRE DE DEMAIN ";"";"BOUCHER  Colonel Arthur --";"1";"1";"acheté env 50 fr chez un bouqu années 90";"";"1911    ";"PARIS / BERGER - LEVRAULT";"";"93";"14 x 22";"BROCHE / ETAT MOYEN";"D 2";"";"";"";"ETUDE";"";"";"";"";"";"";"";"";"1995    ";"40";"Bouquiniste  à  ?  ";"";"";"";"";"";"";"";"";"";"";"";"";"";"L'AUTEUR ANALYSE LES FORCES RESPECTIVES DE LA FRANCE ET DE L   ALLEMAGNE ET ETUDIE LES MOYENS POUR LA FRANCE DE REMPORTER LA VICTOIRE DANS UN FUTUR CONFLIT . 

LIVRE ECRIT EN 1911  .  Je ne l'ai que feuilleté pour le moment , mais il semble fort digne d'intérêt . ";"";"";"";"";"";"";"";"";"";""
"GUIDE DES CHAMPS DE BATAILLE DE FRANCE";"";"BOUSSEL  Patrick";"1";"1";"acheté neuf env 100fr  vers 1981";"150";"1981    ";"PARIS / HORAY ED.";"";"225";"11 X 21";"BROCHE / NEUF / EXCELLENT";"F 7";"";"";"";"USUEL  ( GUIDES , DICTIONNAIRES , etc...) ";"BATAILLES  EN FRANCE  ";"TOUTES EPOQUES";"";"";"";"";"";"";"1981    ";"100";"PARIS  FNAC";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++";"CARTES +++";"BIBLIOGRAPHIE +++";"INDEX  DES LIEUX   ++++";"EXCELLENT PETIT GUIDE SUR UN GRAND NOMBREDE BATAILLES QUI ONT EU LIEU EN FRANCE . 

MALGRE SON  FORMAT GUIDE  ET LA GRANDE PLACE ACCORDEE AUX BATAILLES DE LA GUERRE DE 14 ET DE 40 ,  VU LA GRANDE QUANTITE DE TEXTE PAR PAGE,  L'AUTEUR ARRIVE A DONNER UN RESUME ESSENTIEL DE CHAQUE BATAILLE .

LE DEFAUT ESSENTIEL DE L' OUVRAGE EST DE NE POUVOIR FAUTE DE PLACE DONNER UN ARTICLE SUR TOUTES LES BATAILLES  . L'auteur a dû faire des choix , qu'il reconnait purement arbitraires . ( Ainsi , il y a un article sur Crécy , mais pas sur Azincourt )  .  

(  Pour des batailles comme Crécy ou POitiers , il y a environ 2 ou 3 pages de texte serré , avec une carte ou 1 illustration , ce qui suffit pour décrire l'essentiel de ce que l'on sait sur ces batailles )

IL Y A UNE CARTE OU UN CROQUIS  CHAQUE FOIS QUE C EST POSSIBLE . 

GRAND NOMBRE D ILLUSTRATIONS  GRAVURES OU PHOTOS  ( mais toutes en n et blanc ) . 

EN RESUME , EXCELLENT ET TRES UTILE  OUVRAGE . DOMMAGE QU' IL SOIT PARTIEL    ";"";"";"";"";"";"";"";"";"";""
"LES AS DE L' AVIATION ";"";"BOWEN  Ezra";"1";"1";"acheté environ 30 fr sur une brocante vers 2008";"";"2000    ";"AMSTERDAM  /  TIME LIFE ED. ";"";"192";"24 X 28";"RELIE CARTONNE / NEUF / EXCELLENT";"C 3";"";"";"GUERRE  1914 -  1918";"ETUDE THEMATIQUE ";"GUERRE AERIENNE  PREMIERE GUERRE MONDIALE";"AS COMBAT AERIEN 14 - 18";"";"";"";"";"";"";"2008    ";"100";"BROCANTE ";"";"";"";"";"";"";"";"";"";"ICONGRAPHIE  ++++";"";"";"";"TRES BEAU BOUQUIN SUR ELS DEBUTS DE LA GUERRE AERIENNE  :  GUERRE  14 - 18  

CE BOUQUIN ETANT ECRIT PAR UN ANGLAIS FAIT EVIDEMMENT LA PART BELLE A L AVIATION BRITANNIQUE . 
TRES INTERRESSANT TOUT DE MEME . 
TRES  NOMBREUSES ILLUSTR  MAGNIFIQUES :  PHOTOS D' EPOQUE EN N ET BLANC ,  PLANCHES COULEURS SUR LES UNIFORMES OU LES APPAREILS DE L' EPOQUE  ,  ENFIN ET SURTOUT  PLUSIEURS MAGNIFIQUES AQUARELLES  AERIENNES  . ";"";"";"";"";"";"";"";"";"";""
"LE GENERAL CLERC ";"UN OUBLIE DE L HISTOIRE ";"BRAUD  Pierre ";"1";"1";"achet neuf env 100 fr en 1995";"";"1995    ";"CERCLE GENAL. DU HAUT BERRY ";"";"287";"16.5 X 24.5";"BROCHE  / NEUF / EXCELLENT";"Q 4";"";"";"HOMMES CELEBRES";"BIOGRAPHIE";"GENERAL CLERC DE SALINS ";"";"";"";"";"";"";"";"1995    ";"50";"LIBRAIRE SALINS ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE     ++";"CARTES  :   ++";"";"";"BOUQUIN QUI SEMBLE TRES INTERESSANT ( je ne l'ai que feuilleté )  SUR UN DES HEROS MILITAIRES DE SALINS 
LE GENRAL CLERC  DONT LA STATUE EST AU CENTRE DE LA PLACE DE L HOTEL DE VILLE . 

GENERAL DU SECOND EMPIRE / HEROS DES GUERRES DE CRIMEE  / TUE A MAGENTA  . 

ON DIT QU IL AVAIT ETE L AMANT DE LIMPERATRICE EUGENIE  CAR C ETAIT UN FORT BEL HOMME  . 

LE BOUQUIN CONTIENT DE NOMBREUSES LETTRES DE SA MAIN  

QQ ILLUSTR ET CARTES OU CROQUIS   LA PLUPART EN N ET BLANC";"";"";"";"";"";"";"";"";"";""
"LE MUSEE DES PLANS RELIEFS ";"";"BRISAC  Catherine ";"1";"1";" acheté neuf 45 fr années 80";"";"1980    ";"PARIS / ED. PYGMALION ";"";"96";"14.5 X 24";"BORCHE / NEUF/ EXCELLENT";"F 7";"";"";"PLACES FORTES ";"MUSEES";"PLANS RELIEFS / MUSEE PLANS RELIEFS ";"";"";"";"";"";"";"";"1985    ";"50";"LIBRAIRIE   A   ?  ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  +++";"";"";"INDEX   +++";"TRES BON BOUQUIN   ( un peu petit )  SUR LE FAMEUX MUSEE DES  PLANS RELIEFS 

AVEC TRES N OMBREUSES ILLUSTR   ( mais toutes en n et blanc ) 

EXCELLENT OUVRAGE , MAIS QU' IL FAUT ADDITIONER AVEC LES AUTRES QUE JE POSSEDE SUR LE MEME SUJET POUR AVOIR UNE VUE EXHAUSTIVE DE CETTE COLLECTION ";"";"";"";"";"";"";"";"";"";""
"MEMOIRES  ";"";"BRO Général ...";"1";"1";"";"";"2001    ";"";"";"0";"";"";"";"";"";"ALGERIE  ANNEES 1830";"MEMOIRES";"ALGERIE  1830";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"REEDITION DES MEMOIRES DU GENERAL BRO , QUI CONCERNANT ESSENTIELLEMENT LE IER 
EMPIRE  . 

TOUTEFOIS ,  CE DERNIER A FAIT EGALEMENT CAMPAGNE EN ALGERIE A PARTIR DE 1830

VOIR FICHE DU LIVRE A CE TITRE EN SERIE  HMRE";"";"";"";"";"";"";"";"";"";""
"FAITES SAUTER LA LIGNE MAGINOT";"";"BRUGE  Roger ";"1";"1";"acheté neuf 90 fr  en 1981";"200";"1981    ";"PARIS / FAYARD";"";"460";"16 X 24";"BROCHE / T BON ETAT";"K 3";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"LIGNE MAGINOT /  CAMPAGNE DE 1940";"";"";"";"";"";"";"";"1981    ";"100";"LIBRAIRIE  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++++";"CARTES +++";"BIBLIOGRAPHIE ++++";"";"EXCELLENT OUVRAGE SUR LA LIGNE MAGINOT ET LES COMBATS QU' ELLE EUT A SUBIR 
PENDANT LA  CAMPAGNE DE  1940  . 

NOMBREUSES ILLUSTR N ET BLANC TRES INTERESSANTES

1 GRANDE CARTE DEPLIANTE DE L ENSEMBLE DE LA LIGNE /  PLUSIEURS CROQUIS .   

BIBLIOGRAPHIE  TRES COMPLETE";"";"";"";"";"";"";"";"";"";""
"RECITS DE GUERRE ";"";"BRUNEAU  Général --";"1";"1";"vente enchèresz Bibl HENRI MAIRE  2009 ";"";"1911    ";"PARIS / CALMANN-LEVY";"";"320";"12 x 18";"RELIE / PARFAIT ETAT ";"C 2";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"MEMOIRES  / OPERATIONS";"";"";"";"";"";"";"";"";"2009    ";"200";"VENTE ENCH. HENRI MAIRE ";"";"";"";"";"";"";"";"";"";"";"";"";"";"LE SOUS TITRE DE CE BOUQUIN EST : :coma:  HISTOIRE D' UNE COMPAGNIE DE ZOUAVES PENDANT LA GUERRE DE 1870 
                                                                                   ARMEE DE LA LOIRE , ARMEE DE L' EST  :coma:

Manifestement , cette coppagnie devait être commandée par l'auteur .

Je n'ai aps encore lu ce bouquin 



COTE :  ce bouquin fait partie d'un carton que j'ai acheté à vil prix lors de la  septième vdente aux enchères de la Bibl HENRI MAIRE 
à Dôle  , en novembre 2009 . J'ai acheté plusieurs cartons , chacun contenant une trentaine de bouquins reliés en parfiat état pour des pris allant de 50 à  90 Euros  ( en gros 400 à   600  Fr  les vingt bouquins ) . 
Tous ces bouquins portent l' EX LIBRIS  de la Bibliothèque de COMMANDANT GRAND .  On sait que cet érudit d'Arbois , que j'ai bien connu quant j'étais jeune , ami des MILLET  et des VUILLAME , avait fait don de sa Bibli sur ses vieux jours au grand personnage d'Arbois , HENRI MAIRE  . 

Dans chacun des cartons  que j'ai achetés , il se trouvait environ 5 livres sans intérêt , 10 d'histoire générale intéressants mais que je n'aurais pas acheté spontanément  , et 5 qui m'intéressaient et que j'aurais acheté individuellemnt si je les avais trouvé dans une brocante ou autre . Donc en gros , chacun  de ces bouquins m'est revenu  à 30 Fr  !!!!!!!!! ( le simple fait de faire relier un bouquin actuellement , coute environ 7 ou 800 fr  ) . 
Les bouquins de valeur , connnus et repéres par l'expert étaient vendus individuellemnet l'après midi . Mais à un prix dérisoire . C'est ainsi que j'ai acheté  un nouvel exemplaire de MARBOT relié parfait état ,  pour 40 E  (  260 Fr  !!) . 
Les bouquins ayant fait des belles cotes étaient essntiellement ceux traitant d'historie de Franche-Comté , c'est pourquoi les bouquins militaires étaient  :coma: oubliés :coma:  . 
Dans mes :coma: cartons vrac :coma: que j'ai achetés le matin , j'ai un ou deux bouquins rares sur l'Empire qui valent au moins 1000 Fr pièce . ";"";"";"";"";"";"";"";"";"";""
"OPERATION BARBAROSSA  ";"";"BUFFETAUT  Yves";"1";"1";"acheté neuf 69 fr en 1992";"130";"1992    ";"PARIS / HISTOIRE ET COLLECTIONS ";"MILITARIA MAGAZINE";"82";"21 X 30";"BROCHE / EXCELLENT  ";"C 3";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"OPERATION BARBAROSSA ";"RUSSIE 1941";"MINSK / LENINEGRAD / SMOLENSK / ";"MOSCOU / UKRAINE ";"CHARS DE COMBAT  / BLINDES";"";"";"";"1992    ";"80";"MAISON DE LA PRESSE  LONS ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++++";"CARTES +++";"";"";"HORS SERIE NUMERO 5 DE LA REVUE  MILITARIA MAGAZINE 

REVUE MODERNE DE TRES GRANDE QUALITE ET DE TRES GRAND INTERET 

BOURRE DE PHOTOS DE L' EPOQUE,  DE CARTES, ET DE PLANCHES SUR LES ARMEMENTS


CE NUMERO ETUDIE L' OPERATION BARBAROSSA , C' EST- A- DIRE L' INVASION DE LA RUSSIE PAR LA WEHRMACHT  EN 1941  .  ";"";"";"";"";"";"";"";"";"";""
"LES PANZER EN NORMANDIE ";"";"BUFFETAUT Yves";"1";"1";"acheté neuf 69 fr en 1991";"130";"1991    ";"PARIS / HISTOIRE ET COLLECTIONS ";"MILITARIA MAGAZINE";"82";"21 X 30";"BROCHE / EXCELLENT  ";"C 3";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"BATAILLE DE NORMANDIE 1944 ";"PANZER /BLINDES / CHARS DE COMBAT ";"";"";"";"";"";"";"1991    ";"80";"MAISON DE LA PRESSE  LONS ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++++";"CARTES +++";"";"";"HORS SERIE NUMERO 1 DE LA REVUE MILITARIA MAGAZINE 

REVUE MODERNE DE TRES GRANDE QUALITE ET DE TRES GRAND INTERET  . 

BOURRE DE PHOTOS DE L' EPOQUE , DE CARTES,  ET DE PLANCHES SUR LES ARMEMENTS
ESSENTIELLEMENT LES BLINDES  . 

BATAILLE DE NORMANDIE 1944";"";"";"";"";"";"";"";"";"";""
"GUDERIAN PERCE A SEDAN ";"";"BUFFETAUT Yves";"1";"1";"acheté neuf 69 fr en 1992  ";"130";"1992    ";"PARIS / HISTOIRE ET COLLECTIONS ";"MILITARIA MAGAZINE";"82";"21 X 30";"BROCHE / EXCELLENT  ";"C 3";"";"";"SECONDE GUERRE MONDIALE ";"OPERATIONS";"CAMPAGNE DE FRANCE 1940 ";"PERCEE A SEDAN /  GUDERIAN /";"ARDENNES 1940 / LA MEUSE /";"MONTCORNET / DE GAULLE /  ";"CHARS DE COMBAT / BLINDES ";"";"";"";"1992    ";"80";"MAISON DE LA PRESSE  LONS ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++++";"CARTES +++";"";"";"HORS SERIE NUMERO 4  DE LA REVUE  MILITARIA MAGAZINE . 

REVUE MODERNE DE TRES GRANDE QUALITE ET  DE TRES GRAND INTERET . 

BOURRE DE PHOTOS DE L' EPOQUE,  DE CARTES , DE PLANCHES SUR LES ARMEMENTS ETC...

TOTU SUR LA PERCEE DE SEDAN EN MAI 1940 ? AVEC LES QUELQUES JOURS AVANT ET APRES  . ";"";"";"";"";"";"";"";"";"";""
"LE DRAME DU SCHARNHORST ";"";"BUSCH  Fritz Otto ";"1";"1";"acheté neuf 7 ou 8 fr années 70";"40 ";"1965    ";"PARIS / FLAMMARION  ";"J'AI LU Leur aventure ";"249";"11.5 X 16.5";"BROCHE / BON ETAT";"C 1";"";"";"GUERRE  39 - 45";"MEMOIRES / OPERATIONS ";"GUERRE MARITIME / CUIRASSE ";"SCHARNHORST";"";"";"";"";"";"";"1972    ";"20";"LONS ";"";"";"";"";"";"";"";"";"";"";"";"";"";"EXCELLENT OUVRAGE SUR LA VIE ET LA FIN DE CE GRAND CUIRASSE ALLEMAND DE LA SECONDE GUERRE MONDIALE . ";"";"";"";"";"";"";"";"";"";""
"LE MARECHAL DE LUXEMBOURG  1628 - 1695";"";"CAMON  Général";"1";"1";"acheté 40 fr chez bouqu à NANCY  en 1985";"120";"1936    ";"PARIS / BERGER - LEVRAULT";"";"228";"14 X 23";"BROCHE / BON ETAT";"D 1";"";"";"ANCIEN REGIME ";"BIOGRAPHIE / OPERATIONS";"GUERRES DE LOUIS XIV / LENS / FRANCHE COMTE / ";"HOLLANDE / FLANDRES / SIEGE DE MONS /";"SIEGE DE SAINT OMER /  PHILIPPSBOURG /  CASSEL / ";"GUERRE DE LA LIGUE D'AUGSBOURG / FLEURUS  /";"STEINKERQUE / NEERWINDEN / ";"";"";"";"1985    ";"80";"BOUQUINISTE A NANCY ";"";"";"";"";"";"";"";"";"";"";"CARTES +";"";"";"VIE MILITAIRE DE CE CELBRE CHEF FRANCAIS DU REGNE DE LOUIS XIV  , ECRIT PAR LE CELEBRE ECRIVAIN MILITAIRE .

DESCRIPTION PRECISE DE TOUTES LES CAMPAGNES ET DES GRANDES BATAILLES GAGNEES PAR CE MARECHAL .  TRES INTERESSANT .

QQ CARTES GENERALES DE ZONE D'OPERATIONS (  PAS DE CARTE DE BATAILLE )
SANS ILLUSTR. 

camapgne en catalogne 1647 en flandre , bataille de Lens 1648 , bataille des DUNES 1658  , traité des pyrénnées . 
conquête de la Franche Comte , conquête de la Hollande  1672 .  
campagne en belgique 1673 , nouvelle conquete de la franche comté 1674 , campagne de 1675 en belgique , de 1676 à Philippsbourg , de 1677 dans le nord et les flandres  , bataille de CASSEL ,  de 1678 siège de MONS ";" 
GUERRE DE LA LIGUE D'AUGSBOURG : camapgne de 1690 FLEURUS , campagne de 1691 , campagne de 1692 STEINKERQUE , camapgne de 1693 NEERWINDEN   ";"";"";"";"";"";"";"";"";"";""
"ALESIA ET LES RUSES DE CESAR ";"";"CARCOPINO  Jérôme ";"1";"1";"acheté neuf environ 30 fr années 70";"";"1970    ";"PARIS / FLAMMARION  ";"";"250";"12 X 18.5";"BORCHE / NEUF/ EXCELLENT";"K 2";"";"";"ANTIQUITE";"ETUDE HISTORIQUE ";"ALESIA / CESAR / VERCINGETORIX ";"";"";"";"";"";"";"";"1975    ";"30";"LIBRAIRIE   A   ?  ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE     ++";"CARTES  :   ++";"";"";"REEDITION DE CE BOUQUIN PARU DANS LES ANNEES  1950   ET QUI PLAIDE POUR LA THESE   ALESIA  =   ALISE STE REINE 

IL ETUDIE LES ARGUMENTS EN FAVEUR D ' ALAISE  EN FRANCHE COMTE  MAIS NE PARLE NI DE SALINS NI DE CHAUX DES CROTENAY  (  thèses plus récentes   )

QQ ILLUSTR  /  QQ PHOTOS DONT UNE AERIENNE /  1 CARTE  ";"";"";"";"";"";"";"";"";"";""
"FANTASSINS SUR L' AISNE , MAI-JUIN  40";"";"CARRON  Lucien";"1";"1";"acheté 25 fr années 80 à Allerey ";"60";"1944    ";"PARIS / ARTHAUD";"";"245";"12.5 X 19";"BROCHE / ETAT CORRECTI";"K 3";"";"";"SECONDE GUERRE MONDIALE ";"MEMOIRES / OPERATIONS ";"CAMPAGNE DE FRANCE 1940  / L'AISNE";"44° DIVISION  /  6° RI";"";"";"";"";"";"";"1985    ";"30";"BOUQUINISTE  (  ALLEREY   )";"";"";"";"";"";"";"";"";"";"";"";"";"";"TRES INTERESSANTE RELATION DE LA DEFENSE DE L' AISNE DANS LE SECTEUR DE LA 44° 
DIVISION D' INFANTERIE  ET PLUS SPECIALEMENT  AU 6°  RI ,  EN MAI 
 JUIN 1940 .


SANS ILLUSTR .  1 OU 2  CROQUIS . ";"";"";"";"";"";"";"";"";"";""
"CASTELLANE ( MARECHAL DE---) ,  JOURNAL DU -";"";"CASTELLANE  (  MARECHAL DE ----)  ";"1";"5";"";"";"";"";"";"0";"";"";"F 5";"";"";"";"MEMOIRES";"RESTAURATION  / SECOND EMPIRE ";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"INDEX ++++";"LES SOUVENIRS DE CE MARECHAL COUVRANT LA PERIODE ALLANT DU 1ER EMPIRE  AU SECOND EMPIRE INCLUS   ON TROUVERA LA FICHE DETAILLEE EN SERIE  HMRE

MEMOIRES TRES INTERESSANTS 

CET OUVRAGE EST EN 5 VOLUMES  DONT LE 1ER COUVRE LE 1ER EMPIRE  ET LES 4 AUTRES
LA RESTAURATION ET LE SECOND EMPIRE .

Sans illustr";" ni carte   INDEX DES NOMS TRES IMPORTANT  à la fin du volume 5";"";"";"";"";"";"";"";"";"";""
"1939 - 1940  UNE GUERRE PERDUE EN 4 JOURS";"CONTRE- TEMOIGNAGES SUR UNE CATASTROPHE";"CATON  P. E. ";"1";"1";"acheté neuf environ 100 fr vers 1980";"200";"1974    ";"RENNES / L' AMITIE PAR LE LIVRE";"";"842";"14 x 22";"BROCHE / ETAT CORRECT ";"K 3";"";"";"SECONDE GUERRE MONDIALE ";"ETUDE";"HISTOIRE DIPLOMATIQUE / ";"EVOLUTION MILITAIRE /";"MONTEE DES FORCES EN PUISSANCE ";"INVASION DE LA TCHECOSLOVAQUIE";"GUERRE DE POLOGNE / DROLE DE GUERRE";"";"";"";"1980    ";"150";"Librairie  ( Paris ou Lons ) ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE ++";"CARTES +++";"";"";"BOUQUIN TRES COMPLET ET TRES SOLIDES SUR LES PRELIMINAIRES DE LA GUERRE 

CONTIENT UNE MASSE DE RENSEIGNEMENTS  ( 842 pages d'écriture très fine )  . 

L'auteur analyse une grande quantité d'éléments historiques , diplomatiques , militaires  ,  QUI ONT AMENE A LA GUERRE DANS LES CONDITIONS OU ELLE S EST DEROULEE ET QUI EXPLIQUENT NOTRE DEFAITE ECLAIR . 

CE LIVRE EST DONC TRES INTERESSANT  MAIS NE RACONTE PAS LA CAMPAGNE DE FRANCE . 
Il s'arrête juste avant .   Ce livre est intiutlé Tome II  . IL ne semble pas qu'un tome 3 soit jamais paru ( qui aurait raconté l'historie militaire de la camapgne ) . Je n'ai ajamais vu le tome 1  . Mais comme ce tome 2 reprend toute l'histoire diplomatique depuis la Tchécoslovaquie , il est à présumer que le précédent reprend l'histoire des années précédente s.  C'ezst donc certainement ce tome 2 le plus intéressant 
directement .  

QQ ILLUSTR N ET BLANC EN MILIEU D OUVRAGE  /  NOMBREUSES CARTES OU CROQUIS DANS LE TEXTE .   NOMBREUSES ANNEXES ET PIECES DIVERSES . ";"";"";"";"";"";"";"";"";"";""
"LA BATAILLE DE MONDEMENT";"L'ARMEE DE FOCH SUR LA MARNE 1914";"CHAMARD Elie";"1";"1";"acheté 40 fr chez un bouqu années 80";"100";"1939    ";"PARIS / BERGER - LEVRAULT";"";"116";"14 x 22";"BROCHE / BON ETAT";"C 5";"";"";"GUERRE  14 -  18";"OPERATIONS";"FOCH / GUERRE 14-18 / LA MARNE / MONDEMENT /";"9° ARMEE";"";"";"";"";"";"";"1985    ";"70";"BOUQUINISTE  (  ALLEREY   )";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  ++";"";"";"";"TRES BONNE DESCRIPTION' ASSEZ SYNTHETIQUE , DE L' ACTION DE L' ARMEE DE FOCH AU COURS DE LA BATAILLE DE LA MARNE

PAS DE CARTE :  un plan du chateau de MONDEMENT 

NOMBREUSES ILLUSTR DONT CERTAINES TRES INT.    beaucoup de photos et une vue panoramique du terrain des combats au dessin noir et blanc";"";"";"";"";"";"";"";"";"";""
"ADIEU CAVALERIE ";"";"CHAMBE   Général ..";"1";"1";"acheté neuf environ 100 fr en 1980";"200";"1980    ";"PARIS / PLON";"";"284";"15.5 X 24.5";"BROCHE / EXCELLENT ";"C 4";"";"";"GUERRE 1914 - 1918 ";"OPERATIONS";"DEBUT DE LA GUERRE DE 1914";"BATAILLE DES FRONTIERES ";"BATAILLE DE LA MARNE 1914";"CAVALERIE ";"";"";"";"";"1980    ";"100";"LONS  ? ";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE  +++";"CARTES +++";"";"";"CET OUVRAGE RELATE L ACTION DE LA CAVALERIE PENDANT LE DEBUT DE LA GUERRE DE 14
NOTAMMENT LA BATAILLE DE LA MARNE .  

L'auteur sait de quoi il parle puisqu'il était lieutenant de cavalerie à l'époque . 

Au delà de la stricte relation des opérations de la cavalerie , l'auteur explique comment et pourquoi c'était
la dernière fois dans les guerres que l'on employait la cavalerie traditionnelle , d'où le titre . 

OUVRAGE TRES INTERESSANT .   ASSEZ TECHNIQUE . 

NOMBREUSES ILLUSTR. N ET BLANC  .    NOMBREUSES CARTES . ";"";"";"";"";"";"";"";"";"";""
"LE MONDE FASCINANT DU COMBAT AERIEN";"";"CHANT Chris  /   RUDE François ";"1";"1";"acheté neuf env";" 100fr années 80 en braderie ";"300";"1980    ";"PARIS / LIBR. GRUND ";"";"192";"24.5 X 33";"RELIE CARTONNE/NEUF/EXC.";"A 2";"";"";"GUERRES DU 20° SIECLE ";"OPERATIONS";"";"";"";"";"";"";"";"";"1985    ";"150";"PARIS / LIBRAIRIE DE BRADERIE";"ANGLAIS ";"ANGLETERRE";"";"";"1979    ";"LONDRES / OCTOPUS BOOKS";"";"";"";"ICONOGRAPHIE ++++";"";"";"INDEX +++";"LIVRE MODERNE  FORMAT ET STYLE LIVRE D ART  GRAND MODELE 

TRAITE TOUS LES ASPECTS DU COMBAT AERIEN  DE LA PREMIERE GUERRE MONDIALE A NOS JOURS     ANNEES  80  . 

PROFUSION DE TRES BELLES ILLUSTR.  ESSENTIELLEMENT PHOTOS  MAIS AUSSI QUELQUES TRES BELLES AQUARELLES  .  MAJORITE EN COULEURS  

NOMBREUX SCHEMAS EXPLIQUANT LES TACTIQUES DE COMBAT SELON LES PERIODES . 
TRAITE EGALEMENT DE LA DEFENSE  ANTI AERIENNE 
 
BOUQUIN TRES INTERESSANT .   ( Beaucoup d'avions sont représentés  ";" cependant , il ne faut pas considérer ce livre comme une encyclopédie de l'aviation de guerre et y chercher tous les avions qui ont existé ) 

INDEX DES NOMS  D AVIONS ET DE LIEUX  .  ";"";"";"";"";"";"";"";"";"";""
"LA BATAILLE DU GRAND COURONNE";"LA LORRAINE EN 1914";"CHEVREUX Marie-Thérèse ";"1";"1";"acheté neuf 30 fr à Nancy en 1985 ";"100";"1984    ";"NANCY / ACADEMIE DE NANCY";"";"152";"18 X 24";"BROCHE / EXCELLENT ";"C 5 ";"";"";"GUERRE 1914 -  1918  ";"oPERATIONS";"GRAND-COURONNE /  NANCY /  ";"AOUT 1914";"LORRAINE /LUNEVILLE / CASTELNAU ";"";"";"";"";"";"1985    ";"50";"NANCY";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE +++";"CARTES +++";"BIBLIOGRAPHIE +++";"INDEX DES NOMS +++";"ETUDE ASSEZ TECHNIQUE ET PRECISE SUR LA BATAILLE  DANS LE SECTEUR DE NANCY
EN AOUT 1914  . 

BIEN QU ASSEZ PRECISE CETTE ETUDE NEST PAS LE FAIT D UN SPECIALISTE ET SE LIT DONC RELATIVEMENT FACILEMENT .  TRES INTERESSANT .

NOMBREUSES ILLUSTR. ( essentiellement photos n et blanc )  réparties dans le texte . 
NOMBREUSES CARTES ET CROQUIS .   NOMBREUSES NOTES . 

BIBLIOGRAPHIE ASSEZ COMPLETE  /  INDEX DES NOMS CITES";"";"";"";"";"";"";"";"";"";""
"TRENTE ANS DE MA VIE MILITAIRE";"";"CHOPPIN   Capitaine H.  --";"1";"1";"acheté 40 fr chez un bouqu  années 80";"";"1891    ";"PARIS / BERGER - LEVRAULT";"";"2480";"12 x 19";"BROCHE / ETAT MOYEN ";"D 1";"";"";"GUERRE FRANCO-ALLEMANDE : 1870 - 1871";"SOUVENIRS";"SECOND EMPIRE / CRIMEE / SAHARA / ALGERIE /";"CAMPAGNE D'ITALIE SECOND EMPIRE  /";"MAGENTA /  GUERRE DE 1870 /  METZ";"";"";"";"";"";"1985    ";"30";"BOUQU. ( Allerey ou Nancy ?  )";"";"";"";"";"";"";"";"";"";"ICONOGRAPHIE   +";"";"";"";"L'auteur de ce livre s'est engagé au début du second Empire . 
Il a connu  l' ALGERIE ,  LA CRIMEE , l'ITALIE  ( MAGENTA )  , enfin , la GUERRE DE 70  à  METZ

PETIT LIVRE FORT INTERESSANT 

PAS DE CARTE / QQ ILLUSTR. , dessins n et blanc dont certains assez intéressants . ";"";"";"";"";"";"";"";"";"";""
